Scenario ID,Employee Search Query,Scenario Family,Edge Case Tags,Difficulty,Answerability,Intent Count,Archetype,Target Family ID,Target Instance ID,Construction,Generator Version,Generator Seed
Q20001,legal entity including Worker Status,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,active employee by company,R0698,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker Status"", ""sibling_count"": 2}",2.0.0,20260804
Q20002,organization including Legal Name,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,active employee by organization - current - copy,R0125,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Legal Name"", ""sibling_count"": 2}",2.0.0,20260804
Q20003,agency activity by agency - current from All Workers,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,agency activity by agency - current,R1957,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""All Workers"", ""sibling_count"": 2}",2.0.0,20260804
Q20004,where does each employee work including Learning Assignment,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,agency activity by location - detail,R3520,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Learning Assignment"", ""sibling_count"": 2}",2.0.0,20260804
Q20005,agency activity by source - ytd as a Matrix report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,agency activity by source - ytd,R0544,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Matrix"", ""sibling_count"": 3}",2.0.0,20260804
Q20006,all custom reports by report type - detail v3 including Worker,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,all custom reports by report type - detail v3,R2541,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker"", ""sibling_count"": 2}",2.0.0,20260804
Q20007,org including Job Requisition ID,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,all positions by organization - audit,R0517,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Job Requisition ID"", ""sibling_count"": 2}",2.0.0,20260804
Q20008,approvals by assignee - dashboard including Position,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,approvals by assignee - dashboard,R0643,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Position"", ""sibling_count"": 2}",2.0.0,20260804
Q20009,approvals by initiator - summary including Elapsed Days,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,approvals by initiator - summary,R2839,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Elapsed Days"", ""sibling_count"": 2}",2.0.0,20260804
Q20010,organization from Business Process Events,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,approvals by organization,R1637,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Business Process Events"", ""sibling_count"": 2}",2.0.0,20260804
